Name,Category,Ingredients,Instructions,Garnish,Glass,Source
Coastal Sling 6342,The Icons,"Mezcal, Saffron, Lime Juice, Lime Juice","Combine Mezcal, Saffron, and Lime Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Pineapple Wedge.",Pineapple Wedge,Copper Mug,BrewDog (Goa)
Sunrise Martini 6343,The Icons,"Gin, Cumin, Soda, Lime Juice","Combine Gin, Cumin, and Soda in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Rose Petals.",Rose Petals,Tiki Glass,Grumps (Bangalore)
Sunset Punch 6344,South Inspired,"Tequila, Rose Syrup, Coconut Water, Lime Juice","Combine Tequila, Rose Syrup, and Coconut Water in a shaker with ice. Shake well and strain into a Coupe. Top with Lime Wheel.",Lime Wheel,Coupe,ZLB 23 (Mumbai)
Monsoon Martini 6345,Himalayan Flavors,"Brandy, Himalayan Honey, Agave Nectar, Lime Juice","Combine Brandy, Himalayan Honey, and Agave Nectar in a shaker with ice. Shake well and strain into a Highball. Top with Curry Leaf.",Curry Leaf,Highball,RÜ (Kolkata)
Desi Sling 6346,The Icons,"Mezcal, Ginger, Soda, Lime Juice","Combine Mezcal, Ginger, and Soda in a shaker with ice. Shake well and strain into a Copper Mug. Top with Orange Twist.",Orange Twist,Copper Mug,Native (Mumbai)
Silver Fizz 6347,Tropical,"Mezcal, Filter Kaapi, Lime Juice, Lime Juice","Combine Mezcal, Filter Kaapi, and Lime Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lime Wheel.",Lime Wheel,Copper Mug,Hideaway (Kolkata)
Urban Sour 6348,The Icons,"Vodka, Jaggery, Sugar Syrup, Lime Juice","Combine Vodka, Jaggery, and Sugar Syrup in a shaker with ice. Shake well and strain into a Highball. Top with Mint Sprig.",Mint Sprig,Highball,Windmills (Mumbai)
Royal Sling 6349,Twisted Classics,"Gin, Rose Syrup, Tonic Water, Lime Juice","Combine Gin, Rose Syrup, and Tonic Water in a shaker with ice. Shake well and strain into a Wine Glass. Top with Lime Wheel.",Lime Wheel,Wine Glass,Conversation Room (Gurgaon)
Sunset Smash 6350,The Icons,"Brandy, Cumin, Coconut Water, Lime Juice","Combine Brandy, Cumin, and Coconut Water in a shaker with ice. Shake well and strain into a Coupe. Top with Lemon Peel.",Lemon Peel,Coupe,Bar Tesouro (Pune)
Coastal Martini 6351,Tropical,"Whisky, Saffron, Tonic Water, Lime Juice","Combine Whisky, Saffron, and Tonic Water in a shaker with ice. Shake well and strain into a Coupe. Top with Lime Wheel.",Lime Wheel,Coupe,Hideaway (Delhi)
Sunset Mule 6352,Tropical,"Whisky, Curry Leaves, Pineapple Juice, Lime Juice","Combine Whisky, Curry Leaves, and Pineapple Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Mint Sprig.",Mint Sprig,Jam Jar,Malaka Spice (Bangalore)
Silver Fizz 6353,Twisted Classics,"Brandy, Cardamom, Cranberry Juice, Lime Juice","Combine Brandy, Cardamom, and Cranberry Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Coffee Beans.",Coffee Beans,Jam Jar,PCO (Hyderabad)
Rustic Mojito 6354,Twisted Classics,"Vodka, Aam Panna, Pineapple Juice, Lime Juice","Combine Vodka, Aam Panna, and Pineapple Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Dried Chilli.",Dried Chilli,Jam Jar,BrewDog (Noida)
Emerald Sling 6355,South Inspired,"Gin, Ginger, Orange Juice, Lime Juice","Combine Gin, Ginger, and Orange Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Orange Twist.",Orange Twist,Coupe,Ekaa (Gurgaon)
Rustic Smash 6356,The Icons,"Rum, Ginger, Pineapple Juice, Lime Juice","Combine Rum, Ginger, and Pineapple Juice in a shaker with ice. Shake well and strain into a Highball. Top with Lime Wheel.",Lime Wheel,Highball,Petisco (Hyderabad)
Jungle Martini 6357,Savory & Bold,"Whisky, Kokum, Tonic Water, Lime Juice","Combine Whisky, Kokum, and Tonic Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Mint Sprig.",Mint Sprig,Rocks Glass,Slow Tide (Delhi)
Monsoon Martini 6358,South Inspired,"Rum, Tamarind, Sugar Syrup, Lime Juice","Combine Rum, Tamarind, and Sugar Syrup in a shaker with ice. Shake well and strain into a Coupe. Top with Coffee Beans.",Coffee Beans,Coupe,Bira 91 Taproom (Kolkata)
Sunset Collins 6359,Himalayan Flavors,"Brandy, Saffron, Ginger Ale, Lime Juice","Combine Brandy, Saffron, and Ginger Ale in a shaker with ice. Shake well and strain into a Coupe. Top with Curry Leaf.",Curry Leaf,Coupe,Little Bit Sober (Pune)
Silver Sour 6360,Tropical,"Tequila, Saffron, Tonic Water, Lime Juice","Combine Tequila, Saffron, and Tonic Water in a shaker with ice. Shake well and strain into a Martini Glass. Top with Rose Petals.",Rose Petals,Martini Glass,Roxie (Delhi)
Sunset Fizz 6361,Himalayan Flavors,"Brandy, Betel Leaf, Cranberry Juice, Lime Juice","Combine Brandy, Betel Leaf, and Cranberry Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Curry Leaf.",Curry Leaf,Jam Jar,Pandan Club (Pune)
Royal Fizz 6362,Savory & Bold,"Rum, Black Salt, Lime Juice, Lime Juice","Combine Rum, Black Salt, and Lime Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lime Wheel.",Lime Wheel,Rocks Glass,RÜ (Pune)
Temple Sling 6363,South Inspired,"Rum, Betel Leaf, Sugar Syrup, Lime Juice","Combine Rum, Betel Leaf, and Sugar Syrup in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Pineapple Wedge.",Pineapple Wedge,Rocks Glass,Pandan Club (Goa)
Desi Tonic 6364,Savory & Bold,"Mezcal, Aam Panna, Cranberry Juice, Lime Juice","Combine Mezcal, Aam Panna, and Cranberry Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Mint Sprig.",Mint Sprig,Jam Jar,Native (Delhi)
Silver Mojito 6365,The Icons,"Mezcal, Ginger, Sugar Syrup, Lime Juice","Combine Mezcal, Ginger, and Sugar Syrup in a shaker with ice. Shake well and strain into a Highball. Top with Lemon Peel.",Lemon Peel,Highball,Indian Accent (Delhi)
Sunrise Collins 6366,Twisted Classics,"Brandy, Masala Chai, Agave Nectar, Lime Juice","Combine Brandy, Masala Chai, and Agave Nectar in a shaker with ice. Shake well and strain into a Copper Mug. Top with Curry Leaf.",Curry Leaf,Copper Mug,Ping’s (Goa)
Spicy Smash 6367,South Inspired,"Mezcal, Masala Chai, Pineapple Juice, Lime Juice","Combine Mezcal, Masala Chai, and Pineapple Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Mint Sprig.",Mint Sprig,Coupe,Roxie (Delhi)
Midnight Collins 6368,Twisted Classics,"Tequila, Kokum, Pineapple Juice, Lime Juice","Combine Tequila, Kokum, and Pineapple Juice in a shaker with ice. Shake well and strain into a Highball. Top with Mint Sprig.",Mint Sprig,Highball,Soy Como Soy (Mumbai)
Spicy Sour 6369,Savory & Bold,"Mezcal, Black Salt, Cranberry Juice, Lime Juice","Combine Mezcal, Black Salt, and Cranberry Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lime Wheel.",Lime Wheel,Copper Mug,Native (Gurgaon)
Cool Martini 6370,Signature,"Rum, Tamarind, Cranberry Juice, Lime Juice","Combine Rum, Tamarind, and Cranberry Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Pineapple Wedge.",Pineapple Wedge,Wine Glass,ZLB 23 (Goa)
Sunrise Mojito 6371,South Inspired,"Rum, Himalayan Honey, Soda, Lime Juice","Combine Rum, Himalayan Honey, and Soda in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lime Wheel.",Lime Wheel,Copper Mug,Social (Mumbai)
Jungle Collins 6372,Himalayan Flavors,"Tequila, Saffron, Agave Nectar, Lime Juice","Combine Tequila, Saffron, and Agave Nectar in a shaker with ice. Shake well and strain into a Coupe. Top with Dried Chilli.",Dried Chilli,Coupe,AM PM (Gurgaon)
Desi Martini 6373,Tropical,"Brandy, Cumin, Lime Juice, Lime Juice","Combine Brandy, Cumin, and Lime Juice in a shaker with ice. Shake well and strain into a Highball. Top with Dried Chilli.",Dried Chilli,Highball,Roxie (Delhi)
Cool Sour 6374,Signature,"Whisky, Saffron, Cranberry Juice, Lime Juice","Combine Whisky, Saffron, and Cranberry Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Rose Petals.",Rose Petals,Copper Mug,Petisco (Bangalore)
Coastal Mojito 6375,Savory & Bold,"Rum, Jaljeera, Coconut Water, Lime Juice","Combine Rum, Jaljeera, and Coconut Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Coffee Beans.",Coffee Beans,Rocks Glass,Muro (Gurgaon)
Midnight Smash 6376,The Icons,"Whisky, Black Salt, Orange Juice, Lime Juice","Combine Whisky, Black Salt, and Orange Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Mint Sprig.",Mint Sprig,Wine Glass,ZLB 23 (Hyderabad)
Sunrise Fizz 6377,Tropical,"Mezcal, Rose Syrup, Lime Juice, Lime Juice","Combine Mezcal, Rose Syrup, and Lime Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Coffee Beans.",Coffee Beans,Jam Jar,Monkey Bar (Hyderabad)
Monsoon Mule 6378,The Icons,"Vodka, Black Salt, Orange Juice, Lime Juice","Combine Vodka, Black Salt, and Orange Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Mint Sprig.",Mint Sprig,Copper Mug,Bira 91 Taproom (Kolkata)
Temple Sour 6379,Tropical,"Rum, Jaggery, Lime Juice, Lime Juice","Combine Rum, Jaggery, and Lime Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Lemon Peel.",Lemon Peel,Jam Jar,Bar Tesouro (Bangalore)
Coastal Punch 6380,South Inspired,"Brandy, Masala Chai, Coconut Water, Lime Juice","Combine Brandy, Masala Chai, and Coconut Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Mint Sprig.",Mint Sprig,Jam Jar,Petisco (Goa)
Silver Martini 6381,Himalayan Flavors,"Vodka, Kokum, Soda, Lime Juice","Combine Vodka, Kokum, and Soda in a shaker with ice. Shake well and strain into a Copper Mug. Top with Pineapple Wedge.",Pineapple Wedge,Copper Mug,Olterra (Noida)
Royal Sour 6382,Himalayan Flavors,"Brandy, Ginger, Lime Juice, Lime Juice","Combine Brandy, Ginger, and Lime Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Coffee Beans.",Coffee Beans,Jam Jar,Petisco (Delhi)
Sunrise Punch 6383,Twisted Classics,"Whisky, Black Salt, Tonic Water, Lime Juice","Combine Whisky, Black Salt, and Tonic Water in a shaker with ice. Shake well and strain into a Wine Glass. Top with Orange Twist.",Orange Twist,Wine Glass,Soy Como Soy (Hyderabad)
Monsoon Martini 6384,Signature,"Mezcal, Curry Leaves, Tonic Water, Lime Juice","Combine Mezcal, Curry Leaves, and Tonic Water in a shaker with ice. Shake well and strain into a Highball. Top with Coffee Beans.",Coffee Beans,Highball,Masque (Chennai)
Rustic Smash 6385,South Inspired,"Vodka, Filter Kaapi, Ginger Ale, Lime Juice","Combine Vodka, Filter Kaapi, and Ginger Ale in a shaker with ice. Shake well and strain into a Wine Glass. Top with Lime Wheel.",Lime Wheel,Wine Glass,Izumi (Kolkata)
Masala Mojito 6386,Signature,"Tequila, Cumin, Tonic Water, Lime Juice","Combine Tequila, Cumin, and Tonic Water in a shaker with ice. Shake well and strain into a Highball. Top with Curry Leaf.",Curry Leaf,Highball,BrewDog (Gurgaon)
Desi Punch 6387,The Icons,"Brandy, Himalayan Honey, Cranberry Juice, Lime Juice","Combine Brandy, Himalayan Honey, and Cranberry Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Cinnamon Stick.",Cinnamon Stick,Wine Glass,Bira 91 Taproom (Mumbai)
Ruby Mule 6388,Himalayan Flavors,"Tequila, Rose Syrup, Pineapple Juice, Lime Juice","Combine Tequila, Rose Syrup, and Pineapple Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Dried Chilli.",Dried Chilli,Wine Glass,Bira 91 Taproom (Kolkata)
Masala Fizz 6389,The Icons,"Brandy, Black Salt, Lime Juice, Lime Juice","Combine Brandy, Black Salt, and Lime Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Dried Chilli.",Dried Chilli,Coupe,Bar Kin-Rü (Pune)
Rustic Sling 6390,Signature,"Brandy, Jaggery, Tonic Water, Lime Juice","Combine Brandy, Jaggery, and Tonic Water in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Coffee Beans.",Coffee Beans,Tiki Glass,Bira 91 Taproom (Gurgaon)
Silver Collins 6391,Signature,"Whisky, Jaggery, Coconut Water, Lime Juice","Combine Whisky, Jaggery, and Coconut Water in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Dried Chilli.",Dried Chilli,Tiki Glass,AM PM (Mumbai)
Sunrise Tonic 6392,Himalayan Flavors,"Gin, Saffron, Coconut Water, Lime Juice","Combine Gin, Saffron, and Coconut Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Rose Petals.",Rose Petals,Jam Jar,Malaka Spice (Mumbai)
Royal Martini 6393,Himalayan Flavors,"Mezcal, Betel Leaf, Tonic Water, Lime Juice","Combine Mezcal, Betel Leaf, and Tonic Water in a shaker with ice. Shake well and strain into a Highball. Top with Rose Petals.",Rose Petals,Highball,Jamming Goat (Delhi)
Masala Martini 6394,Signature,"Mezcal, Rose Syrup, Soda, Lime Juice","Combine Mezcal, Rose Syrup, and Soda in a shaker with ice. Shake well and strain into a Highball. Top with Coffee Beans.",Coffee Beans,Highball,KooX (Chennai)
Cool Punch 6395,Himalayan Flavors,"Rum, Curry Leaves, Tonic Water, Lime Juice","Combine Rum, Curry Leaves, and Tonic Water in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Cinnamon Stick.",Cinnamon Stick,Tiki Glass,Jamming Goat (Hyderabad)
Spicy Collins 6396,South Inspired,"Gin, Cumin, Lime Juice, Lime Juice","Combine Gin, Cumin, and Lime Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Mint Sprig.",Mint Sprig,Rocks Glass,Sorano (Gurgaon)
Sunset Mojito 6397,The Icons,"Whisky, Indian Lime Pickle, Tonic Water, Lime Juice","Combine Whisky, Indian Lime Pickle, and Tonic Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Curry Leaf.",Curry Leaf,Rocks Glass,Soy Como Soy (Hyderabad)
Sunset Fizz 6398,South Inspired,"Vodka, Cumin, Soda, Lime Juice","Combine Vodka, Cumin, and Soda in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Rose Petals.",Rose Petals,Rocks Glass,Pandan Club (Kolkata)
Spicy Sour 6399,Twisted Classics,"Mezcal, Masala Chai, Tonic Water, Lime Juice","Combine Mezcal, Masala Chai, and Tonic Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Coffee Beans.",Coffee Beans,Jam Jar,Conversation Room (Kolkata)
Silver Martini 6400,Twisted Classics,"Mezcal, Ginger, Agave Nectar, Lime Juice","Combine Mezcal, Ginger, and Agave Nectar in a shaker with ice. Shake well and strain into a Martini Glass. Top with Lime Wheel.",Lime Wheel,Martini Glass,ZLB 23 (Kolkata)
Silver Mule 6401,Signature,"Brandy, Black Salt, Sugar Syrup, Lime Juice","Combine Brandy, Black Salt, and Sugar Syrup in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Dried Chilli.",Dried Chilli,Rocks Glass,PCO (Kolkata)
Midnight Tonic 6402,Signature,"Gin, Cumin, Coconut Water, Lime Juice","Combine Gin, Cumin, and Coconut Water in a shaker with ice. Shake well and strain into a Wine Glass. Top with Rose Petals.",Rose Petals,Wine Glass,Windmills (Hyderabad)
Sunrise Collins 6403,Himalayan Flavors,"Vodka, Tamarind, Cranberry Juice, Lime Juice","Combine Vodka, Tamarind, and Cranberry Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Rose Petals.",Rose Petals,Tiki Glass,Olterra (Gurgaon)
Urban Collins 6404,Tropical,"Gin, Jaljeera, Coconut Water, Lime Juice","Combine Gin, Jaljeera, and Coconut Water in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lemon Peel.",Lemon Peel,Copper Mug,Soy Como Soy (Bangalore)
Rustic Tonic 6405,Himalayan Flavors,"Rum, Himalayan Honey, Ginger Ale, Lime Juice","Combine Rum, Himalayan Honey, and Ginger Ale in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lime Wheel.",Lime Wheel,Rocks Glass,Little Bit Sober (Pune)
Emerald Sling 6406,The Icons,"Mezcal, Kokum, Coconut Water, Lime Juice","Combine Mezcal, Kokum, and Coconut Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Rose Petals.",Rose Petals,Jam Jar,Hoots (Delhi)
Rustic Sling 6407,South Inspired,"Brandy, Himalayan Honey, Lime Juice, Lime Juice","Combine Brandy, Himalayan Honey, and Lime Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Lemon Peel.",Lemon Peel,Coupe,Olterra (Mumbai)
Jungle Fizz 6408,South Inspired,"Mezcal, Himalayan Honey, Pineapple Juice, Lime Juice","Combine Mezcal, Himalayan Honey, and Pineapple Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Rose Petals.",Rose Petals,Wine Glass,Olterra (Hyderabad)
Sunset Tonic 6409,Tropical,"Tequila, Filter Kaapi, Agave Nectar, Lime Juice","Combine Tequila, Filter Kaapi, and Agave Nectar in a shaker with ice. Shake well and strain into a Coupe. Top with Coffee Beans.",Coffee Beans,Coupe,Whisky Samba (Bangalore)
Spicy Sling 6410,Savory & Bold,"Gin, Himalayan Honey, Cranberry Juice, Lime Juice","Combine Gin, Himalayan Honey, and Cranberry Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Mint Sprig.",Mint Sprig,Tiki Glass,Sidecar (Noida)
Silver Punch 6411,Himalayan Flavors,"Tequila, Saffron, Coconut Water, Lime Juice","Combine Tequila, Saffron, and Coconut Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lemon Peel.",Lemon Peel,Rocks Glass,Room Two (Delhi)
Cool Sling 6412,Tropical,"Vodka, Himalayan Honey, Ginger Ale, Lime Juice","Combine Vodka, Himalayan Honey, and Ginger Ale in a shaker with ice. Shake well and strain into a Jam Jar. Top with Lime Wheel.",Lime Wheel,Jam Jar,Grumps (Pune)
Monsoon Sling 6413,South Inspired,"Rum, Saffron, Agave Nectar, Lime Juice","Combine Rum, Saffron, and Agave Nectar in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Pineapple Wedge.",Pineapple Wedge,Tiki Glass,Cock & Bull (Kolkata)
Emerald Mule 6414,Himalayan Flavors,"Gin, Cardamom, Sugar Syrup, Lime Juice","Combine Gin, Cardamom, and Sugar Syrup in a shaker with ice. Shake well and strain into a Highball. Top with Dried Chilli.",Dried Chilli,Highball,Elephant & Co (Kolkata)
Monsoon Sling 6415,Twisted Classics,"Tequila, Kokum, Sugar Syrup, Lime Juice","Combine Tequila, Kokum, and Sugar Syrup in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Pineapple Wedge.",Pineapple Wedge,Rocks Glass,Cal-On (Bangalore)
Desi Smash 6416,Savory & Bold,"Rum, Indian Lime Pickle, Pineapple Juice, Lime Juice","Combine Rum, Indian Lime Pickle, and Pineapple Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lemon Peel.",Lemon Peel,Copper Mug,Malaka Spice (Chennai)
Ruby Sour 6417,Signature,"Vodka, Rose Syrup, Lime Juice, Lime Juice","Combine Vodka, Rose Syrup, and Lime Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Cinnamon Stick.",Cinnamon Stick,Copper Mug,The Library Bar (Bangalore)
Masala Tonic 6418,South Inspired,"Whisky, Jaljeera, Orange Juice, Lime Juice","Combine Whisky, Jaljeera, and Orange Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Lemon Peel.",Lemon Peel,Tiki Glass,Masque (Kolkata)
Urban Mojito 6419,South Inspired,"Brandy, Saffron, Pineapple Juice, Lime Juice","Combine Brandy, Saffron, and Pineapple Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Lemon Peel.",Lemon Peel,Coupe,Ekaa (Mumbai)
Sunrise Mule 6420,Twisted Classics,"Gin, Filter Kaapi, Coconut Water, Lime Juice","Combine Gin, Filter Kaapi, and Coconut Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Pineapple Wedge.",Pineapple Wedge,Jam Jar,Bar Kin-Rü (Mumbai)
Sunset Martini 6421,Signature,"Gin, Cardamom, Coconut Water, Lime Juice","Combine Gin, Cardamom, and Coconut Water in a shaker with ice. Shake well and strain into a Wine Glass. Top with Coffee Beans.",Coffee Beans,Wine Glass,Elephant & Co (Delhi)
Emerald Tonic 6422,Tropical,"Mezcal, Kokum, Soda, Lime Juice","Combine Mezcal, Kokum, and Soda in a shaker with ice. Shake well and strain into a Wine Glass. Top with Rose Petals.",Rose Petals,Wine Glass,Sidecar (Gurgaon)
Coastal Martini 6423,The Icons,"Vodka, Filter Kaapi, Pineapple Juice, Lime Juice","Combine Vodka, Filter Kaapi, and Pineapple Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Dried Chilli.",Dried Chilli,Wine Glass,Room Two (Gurgaon)
Golden Tonic 6424,Twisted Classics,"Brandy, Betel Leaf, Agave Nectar, Lime Juice","Combine Brandy, Betel Leaf, and Agave Nectar in a shaker with ice. Shake well and strain into a Copper Mug. Top with Rose Petals.",Rose Petals,Copper Mug,Joseph Bar (Hyderabad)
Golden Tonic 6425,Twisted Classics,"Rum, Kokum, Tonic Water, Lime Juice","Combine Rum, Kokum, and Tonic Water in a shaker with ice. Shake well and strain into a Wine Glass. Top with Rose Petals.",Rose Petals,Wine Glass,Roxie (Pune)
Sunrise Mule 6426,Himalayan Flavors,"Mezcal, Betel Leaf, Soda, Lime Juice","Combine Mezcal, Betel Leaf, and Soda in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Lime Wheel.",Lime Wheel,Tiki Glass,BrewDog (Kolkata)
Emerald Martini 6427,The Icons,"Mezcal, Ginger, Orange Juice, Lime Juice","Combine Mezcal, Ginger, and Orange Juice in a shaker with ice. Shake well and strain into a Highball. Top with Cinnamon Stick.",Cinnamon Stick,Highball,Hoots (Delhi)
Spicy Martini 6428,South Inspired,"Gin, Cumin, Pineapple Juice, Lime Juice","Combine Gin, Cumin, and Pineapple Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Dried Chilli.",Dried Chilli,Rocks Glass,Elephant & Co (Gurgaon)
Royal Sour 6429,Signature,"Brandy, Jaggery, Lime Juice, Lime Juice","Combine Brandy, Jaggery, and Lime Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Coffee Beans.",Coffee Beans,Tiki Glass,Conversation Room (Chennai)
Royal Sour 6430,Signature,"Whisky, Rose Syrup, Pineapple Juice, Lime Juice","Combine Whisky, Rose Syrup, and Pineapple Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Lime Wheel.",Lime Wheel,Wine Glass,Grumps (Delhi)
Sunset Martini 6431,Twisted Classics,"Gin, Filter Kaapi, Orange Juice, Lime Juice","Combine Gin, Filter Kaapi, and Orange Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Orange Twist.",Orange Twist,Coupe,Ekaa (Kolkata)
Golden Smash 6432,Signature,"Tequila, Indian Lime Pickle, Orange Juice, Lime Juice","Combine Tequila, Indian Lime Pickle, and Orange Juice in a shaker with ice. Shake well and strain into a Highball. Top with Dried Chilli.",Dried Chilli,Highball,Cock & Bull (Chennai)
Masala Sour 6433,Twisted Classics,"Tequila, Rose Syrup, Tonic Water, Lime Juice","Combine Tequila, Rose Syrup, and Tonic Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Orange Twist.",Orange Twist,Jam Jar,Cal-On (Mumbai)
Temple Mojito 6434,Himalayan Flavors,"Gin, Himalayan Honey, Pineapple Juice, Lime Juice","Combine Gin, Himalayan Honey, and Pineapple Juice in a shaker with ice. Shake well and strain into a Highball. Top with Dried Chilli.",Dried Chilli,Highball,Grumps (Kolkata)
Rustic Tonic 6435,Signature,"Tequila, Cardamom, Ginger Ale, Lime Juice","Combine Tequila, Cardamom, and Ginger Ale in a shaker with ice. Shake well and strain into a Coupe. Top with Coffee Beans.",Coffee Beans,Coupe,Conversation Room (Goa)
Desi Mule 6436,Signature,"Brandy, Cumin, Coconut Water, Lime Juice","Combine Brandy, Cumin, and Coconut Water in a shaker with ice. Shake well and strain into a Wine Glass. Top with Coffee Beans.",Coffee Beans,Wine Glass,Bira 91 Taproom (Hyderabad)
Urban Sling 6437,Signature,"Vodka, Masala Chai, Pineapple Juice, Lime Juice","Combine Vodka, Masala Chai, and Pineapple Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Dried Chilli.",Dried Chilli,Wine Glass,Nutcase Etc (Mumbai)
Temple Fizz 6438,South Inspired,"Vodka, Indian Lime Pickle, Soda, Lime Juice","Combine Vodka, Indian Lime Pickle, and Soda in a shaker with ice. Shake well and strain into a Martini Glass. Top with Coffee Beans.",Coffee Beans,Martini Glass,Jamming Goat (Gurgaon)
Spicy Mojito 6439,Tropical,"Mezcal, Cumin, Sugar Syrup, Lime Juice","Combine Mezcal, Cumin, and Sugar Syrup in a shaker with ice. Shake well and strain into a Martini Glass. Top with Pineapple Wedge.",Pineapple Wedge,Martini Glass,KooX (Noida)
Coastal Collins 6440,South Inspired,"Brandy, Curry Leaves, Coconut Water, Lime Juice","Combine Brandy, Curry Leaves, and Coconut Water in a shaker with ice. Shake well and strain into a Copper Mug. Top with Curry Leaf.",Curry Leaf,Copper Mug,Cal-On (Chennai)
Temple Collins 6441,Himalayan Flavors,"Tequila, Kokum, Pineapple Juice, Lime Juice","Combine Tequila, Kokum, and Pineapple Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Curry Leaf.",Curry Leaf,Jam Jar,Cal-On (Chennai)
Monsoon Sour 6442,Tropical,"Tequila, Ginger, Tonic Water, Lime Juice","Combine Tequila, Ginger, and Tonic Water in a shaker with ice. Shake well and strain into a Martini Glass. Top with Mint Sprig.",Mint Sprig,Martini Glass,Muro (Pune)
Temple Mojito 6443,Signature,"Mezcal, Cardamom, Agave Nectar, Lime Juice","Combine Mezcal, Cardamom, and Agave Nectar in a shaker with ice. Shake well and strain into a Jam Jar. Top with Curry Leaf.",Curry Leaf,Jam Jar,Soy Como Soy (Kolkata)
Silver Mule 6444,Twisted Classics,"Vodka, Himalayan Honey, Orange Juice, Lime Juice","Combine Vodka, Himalayan Honey, and Orange Juice in a shaker with ice. Shake well and strain into a Highball. Top with Cinnamon Stick.",Cinnamon Stick,Highball,Slow Tide (Bangalore)
Jungle Fizz 6445,Himalayan Flavors,"Brandy, Jaggery, Cranberry Juice, Lime Juice","Combine Brandy, Jaggery, and Cranberry Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lemon Peel.",Lemon Peel,Rocks Glass,Cock & Bull (Noida)
Golden Tonic 6446,The Icons,"Mezcal, Kokum, Agave Nectar, Lime Juice","Combine Mezcal, Kokum, and Agave Nectar in a shaker with ice. Shake well and strain into a Wine Glass. Top with Dried Chilli.",Dried Chilli,Wine Glass,Slow Tide (Chennai)
Golden Collins 6447,Tropical,"Rum, Jaggery, Ginger Ale, Lime Juice","Combine Rum, Jaggery, and Ginger Ale in a shaker with ice. Shake well and strain into a Copper Mug. Top with Curry Leaf.",Curry Leaf,Copper Mug,Cal-On (Bangalore)
